MDO_D,MDO_C,MDO_T,LNG_D,LNG_C,LNG_T,AMM_D,AMM_C,AMM_T,MET_D,MET_C,MET_T
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,1.8e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0e6,4.0e6,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
