HFO,MDO,LNG,LPG,MET,HYB,HYG,AMM,ELC
1.218e10,3.236724e13,8.0e9,0.0,0.0,0.0,0.0,0.0,2.7e9
3.382e10,6.51534e13,2.006e10,0.0,0.0,0.0,0.0,0.0,6.92e9
7.488e10,9.88947e13,3.47e10,0.0,0.0,0.0,0.0,0.0,1.52e10
1.858e11,1.334819e14,5.532e10,0.0,0.0,0.0,0.0,0.0,2.534e10
4.2848e11,1.6884984e14,8.11e10,0.0,0.0,0.0,0.0,0.0,3.668e10
7.3602e11,2.0488872e14,1.123e11,0.0,0.0,0.0,0.0,0.0,5.14e10
1.1151e12,2.4118676e14,1.5144e11,0.0,0.0,0.0,0.0,0.0,7.202e10
1.81192e12,2.7762594e14,2.024e11,0.0,0.0,0.0,0.0,0.0,9.746e10
4.78018e12,3.1257282e14,2.68e11,0.0,1.68e9,0.0,0.0,0.0,1.3304e11
8.81272e12,3.1257282e14,3.656e11,0.0,3.36e9,0.0,0.0,0.0,1.6982e11
1.297356e13,3.1257282e14,5.0414e11,1.904e10,1.642e10,0.0,3.6e8,0.0,2.173e11
1.71462e13,3.1257282e14,6.7234e11,3.808e10,2.948e10,0.0,7.2e8,0.0,2.7908e11
2.13207e13,3.1257282e14,8.5324e11,5.712e10,4.254e10,0.0,1.08e9,0.0,3.479e11
2.54952e13,3.1257282e14,1.0363e12,7.616e10,5.56e10,0.0,1.44e9,0.0,4.1714e11
2.96697e13,3.1257282e14,1.2217e12,9.52e10,6.866e10,0.0,1.8e9,0.0,4.865e11
3.38442e13,3.1257282e14,1.40778e12,1.1424e11,8.172e10,0.0,2.16e9,0.0,5.561e11
3.80187e13,3.1257282e14,1.59386e12,1.3328e11,9.478e10,0.0,2.52e9,0.0,6.257e11
4.21932e13,3.1257282e14,1.77994e12,1.5232e11,1.0784e11,0.0,2.88e9,0.0,6.9542e11
4.63677e13,3.1257282e14,1.96602e12,1.7136e11,1.209e11,0.0,3.24e9,0.0,7.6514e11
5.05422e13,3.1257282e14,2.1521e12,1.904e11,1.3396e11,0.0,3.6e9,0.0,8.3486e11
5.47167e13,3.1257282e14,2.33818e12,2.0944e11,1.4702e11,0.0,3.96e9,0.0,9.0458e11
5.88912e13,3.1257282e14,2.52426e12,2.2848e11,1.6008e11,0.0,4.32e9,0.0,9.743e11
6.30657e13,3.1257282e14,2.71034e12,2.4752e11,1.7314e11,0.0,4.68e9,0.0,1.04402e12
6.72402e13,3.1257282e14,2.89642e12,2.6656e11,1.862e11,0.0,5.04e9,0.0,1.11374e12
7.14147e13,3.1257282e14,3.0825e12,2.856e11,1.9926e11,0.0,5.4e9,0.0,1.18346e12
7.55892e13,3.1257282e14,3.26858e12,3.0464e11,2.1232e11,0.0,5.76e9,0.0,1.25318e12
7.97637e13,3.1257282e14,3.4506e12,3.2368e11,2.2538e11,0.0,6.12e9,0.0,1.32138e12
8.39382e13,3.1257282e14,3.63004e12,3.4272e11,2.3844e11,0.0,6.48e9,0.0,1.38552e12
8.81127e13,3.1257282e14,3.8035e12,3.6176e11,2.515e11,0.0,6.84e9,0.0,1.4478e12
9.22872e13,3.1257282e14,3.9718e12,3.808e11,2.6456e11,0.0,7.2e9,0.0,1.50888e12
9.64617e13,3.1257282e14,4.13468e12,3.9984e11,2.7762e11,0.0,7.56e9,0.0,1.56658e12
1.0062674e14,3.1257282e14,4.28962e12,4.1888e11,2.9068e11,0.0,7.92e9,0.0,1.61838e12
1.0477236e14,3.1257282e14,4.43274e12,4.3792e11,3.0374e11,0.0,8.28e9,0.0,1.66536e12
1.0884812e14,3.1257282e14,4.56122e12,4.5696e11,3.168e11,0.0,8.64e9,0.0,1.7022e12
1.1279212e14,3.1257282e14,4.6817e12,4.76e11,3.2818e11,0.0,9.0e9,0.0,1.73808e12
1.1667126e14,3.1257282e14,4.77018e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.76056e12
1.2047886e14,3.1257282e14,4.81772e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.76874e12
1.2396872e14,3.1257282e14,4.8356e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.76988e12
1.2518714e14,3.1257282e14,4.84078e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.7706e12
1.2534128e14,3.1257282e14,4.8438e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.7712e12
1.2536712e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77156e12
1.2538116e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77192e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
1.2539334e14,3.1257282e14,4.84448e12,4.9504e11,3.3956e11,0.0,9.36e9,0.0,1.77216e12
