T_MFO,B_MFO,G_MFO,C_MFO,O_MFO,T_SCR,B_SCR,G_SCR,C_SCR,O_SCR,T_LNG,B_LNG,G_LNG,C_LNG,O_LNG,T_ELC,B_ELC,G_ELC,C_ELC,O_ELC,T_MET,B_MET,G_MET,C_MET,O_MET,T_LPG,B_LPG,G_LPG,C_LPG,O_LPG,T_HYD,B_HYD,G_HYD,C_HYD,O_HYD
5.93544e12,1.06899e13,3.7953e12,7.34376e12,4.60284e12,2.24e9,5.2e9,1.8e8,4.44e9,1.2e8,3.36e9,1.3e9,5.4e8,1.48e9,1.32e9,0.0,0.0,1.8e8,0.0,2.52e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.087576e13,2.23795e13,7.44966e12,1.487548e13,9.573e12,5.6e9,1.56e10,5.4e8,1.184e10,2.4e8,8.4e9,2.6e9,1.26e9,4.44e9,3.36e9,5.6e8,0.0,3.6e8,0.0,6.0e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.591968e13,3.47958e13,1.109862e13,2.241756e13,1.466304e13,1.288e10,3.51e10,1.26e9,2.516e10,4.8e8,1.512e10,3.9e9,2.16e9,7.4e9,6.12e9,1.12e9,1.3e9,5.4e8,0.0,1.224e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.106608e13,4.79505e13,1.463436e13,2.99256e13,1.990536e13,3.192e10,8.71e10,3.42e9,6.216e10,1.2e9,2.408e10,6.5e9,3.42e9,1.184e10,9.48e9,1.68e9,2.6e9,9.0e8,0.0,2.016e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.644152e13,6.14939e13,1.814958e13,3.740404e13,2.53608e13,7.392e10,2.015e11,8.1e9,1.4208e11,2.88e9,3.528e10,9.1e9,5.04e9,1.776e10,1.392e10,2.24e9,3.9e9,1.26e9,0.0,2.928e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.19368e13,7.53142e13,2.168676e13,4.503344e13,3.091752e13,1.2712e11,3.471e11,1.404e10,2.4272e11,5.04e9,4.928e10,1.3e10,7.02e9,2.368e10,1.932e10,3.36e9,5.2e9,1.8e9,0.0,4.104e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.757376e13,8.92866e13,2.522556e13,5.253408e13,3.656676e13,1.9264e11,5.265e11,2.124e10,3.6704e11,7.68e9,6.664e10,1.82e10,9.36e9,3.108e10,2.616e10,4.48e9,7.8e9,2.34e9,1.48e9,5.592e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.326448e13,1.034111e14,2.87388e13,5.993556e13,4.2276e13,3.1304e11,8.554e11,3.456e10,5.9644e11,1.248e10,8.904e10,2.47e10,1.242e10,4.144e10,3.48e10,6.16e9,1.04e10,3.06e9,2.96e9,7.488e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,8.2712e11,2.2555e12,9.144e10,1.57324e12,3.288e10,1.1816e11,3.25e10,1.638e10,5.476e10,4.62e10,8.4e9,1.43e10,4.14e9,4.44e9,1.0176e11,1.68e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.52544e12,4.1587e12,1.6866e11,2.89932e12,6.06e10,1.5792e11,4.29e10,2.214e10,8.288e10,5.976e10,1.064e10,1.82e10,5.22e9,5.92e9,1.2984e11,3.36e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
